genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Aletodon,quadravus,58.7,58.3,4,1,0.0009
Aletodon,sp.,59.1,59.1,2,0,NaN
Aletomeryx,gracilis,20.0,18.8,5,0,NaN
Aletomeryx,occidentalis,18.8,18.8,1,1,0.2832
Aletomeryx,sp.,20.1,18.1,6,0,NaN
Alforjas,sp.,10.1,6.8,14,2,0.1614
Alforjas,taylori,8.4,7.1,5,0,NaN
Alilepus,browni,3.1,3.1,1,1,0.1209
Alilepus,hibbardi,11.7,1.800,3,0,NaN
Alilepus,sp.,15.970,2.4,4,0,NaN
Alilepus,vagus,7.3,3.3,10,1,0.3333
Alilepus,wilsoni,3.4,3.1,3,0,NaN
Allocosmodon,woodi,58.6,58.6,1,0,NaN
Allocyon,loganensis,33.300,28.4,2,0,NaN
Allodelphis,pratti,28.400,23.030,1,1,0.1429
Allodelphis,sp.,30.800,13.600,1,1,1.0000
Allodelphis,woodburnei,23.030,20.430,1,1,1.0000
Allodesmus,courseni,20.430,13.600,1,0,NaN
Allodesmus,gracilis,13.650,11.608,1,1,0.8571
Allodesmus,kelloggi,13.650,11.608,1,1,0.1429
Allodesmus,kernensis,15.970,13.650,3,0,NaN
Allodesmus,packardi,20.430,13.600,1,1,0.5000
Allodesmus,sp.,20.430,7.246,7,1,1.0000
Allomys,cristabrevis,25.9,25.5,1,0,NaN
Allomys,simplicidens,25.9,25.7,1,0,NaN
Allomys,sp.,29.3,25.5,5,0,NaN
Allomys,storeri,32.2,32.1,1,0,NaN
Allophaiomys,pliocaenicus,1.0,0.3,12,1,0.1538
Allophaiomys,sp.,1.2,0.4,8,3,0.1496
Alluvisorex,arcadentes,14.7,4.900,3,0,NaN
Alluvisorex,chasseae,12.2,11.7,4,0,NaN
Alluvisorex,sp.,15.970,8.3,6,1,0.0037
Alopex,lagopus,1.800,0.012,5,0,NaN
Alopocosmodon,hadrus,63.300,61.700,1,0,NaN
Alphagaulus,pristinus,19.2,13.600,4,0,NaN
Alphagaulus,tedfordi,19.6,17.1,1,0,NaN
Alphagaulus,vetus,19.6,13.600,12,1,0.1250
Alticonus,gazini,64.9,64.6,3,1,0.0833
Aluralagus,bensonensis,4.2,3.3,2,0,NaN
Aluralagus,sp.,4.0,3.3,4,0,NaN
Aluralagus,virginiae,3.0,1.8,4,0,NaN
Alveojunctus,minutus,50.300,46.200,1,0,NaN
Alveojunctus,sp.,52.1,52.1,1,0,NaN
Alveugena,carbonensis,64.7,64.6,2,1,0.2500
Alwoodia,harkseni,26.300,23.9,6,1,0.0526
Alwoodia,magna,25.9,25.7,1,0,NaN
Alwoodia,sp.,30.800,21.5,8,1,0.1765
Amaramnis,gregoryi,53.1,53.1,1,0,NaN
Amaramnis,sp.,52.1,52.1,1,0,NaN
Ambloctonus,major,52.7,52.5,2,0,NaN
Ambloctonus,priscus,53.8,53.8,1,0,NaN
Ambloctonus,sinosus,53.0,52.6,3,0,NaN
Ambloctonus,sp.,53.7,53.6,1,0,NaN
Amebelodon,britti,9.0,8.4,3,1,0.2500
Amebelodon,floridanus,9.4,7.9,6,1,0.0156
Amebelodon,fricki,9.3,9.2,3,0,NaN
Amebelodon,sp.,11.8,7.9,9,0,NaN
Amelotabes,simpsoni,61.700,56.800,1,0,NaN
Ammospermophilus,fossilis,12.5,12.5,3,1,0.0843
Ammospermophilus,hanfordi,4.5,4.5,1,0,NaN
Ammospermophilus,harrisii,0.012,0.000,2,0,NaN
Ammospermophilus,interpres,0.012,0.000,1,0,NaN
Ammospermophilus,jeffriesi,3.6,3.6,1,1,0.0118
Ammospermophilus,junturensis,11.9,11.6,6,0,NaN
Ammospermophilus,leucurus,1.800,,2,1,0.0588
Ammospermophilus,sp.,17.4,0.02516,4,1,0.0082
Amphechinus,ellicottae,22.5,22.5,1,0,NaN
Amphechinus,horncloudi,26.300,5.332,6,3,0.0457
Amphechinus,sp.,23.9,15.9,2,0,NaN
Amphicaenopus,platycephalus,32.6,32.5,1,0,NaN
Amphicaenopus,sp.,30.800,20.430,1,0,NaN
Amphicyon,frendens,17.6,14.7,4,1,0.0357
Amphicyon,galushai,19.9,19.8,11,0,NaN
Amphicyon,ingens,20.430,13.7,7,0,NaN
Amphicyon,longiramus,19.4,17.0,5,1,0.0339
Amphicyon,pontoni,18.9,18.8,2,0,NaN
Amphicyon,riggsi,21.7,18.0,1,0,NaN
Amphicyon,sp.,20.2,14.3,14,1,0.0526
Amphilemur,sp.,40.400,37.200,1,0,NaN
Amphimachairodus,coloradensis,9.4,5.7,16,0,NaN
Ampliconus,antoni,64.7,64.6,1,1,0.0833
Ampliconus,browni,64.9,64.9,1,0,NaN
Ampliconus,sp.,64.6,64.5,1,1,0.2500
Amynodontopsis,bodei,40.5,38.9,14,4,0.1630
Amynodon,advenus,45.9,40.3,22,1,0.0129
Amynodon,reedi,44.8,44.7,3,1,0.5000
Amynodon,sp.,45.3,37.200,22,1,0.0125
Anacodon,nexus,56.8,56.8,2,1,0.5000
Anacodon,sp.,53.8,53.2,3,0,NaN
Anacodon,ursidens,59.4,53.0,26,10,0.0325
Anaptomorphus,aemulus,50.1,46.3,9,0,NaN
Anaptomorphus,sp.,50.0,48.9,2,0,NaN
Anaptomorphus,westi,50.0,49.5,14,10,0.0776
Anasazia,williamsoni,63.300,61.700,1,0,NaN
Ancenycteris,rasmusseni,15.970,13.600,1,0,NaN
Anchiblarinella,wakeeneyensis,11.8,11.8,1,0,NaN
Anchitheriomys,fluminis,20.430,13.600,3,0,NaN
Anchitheriomys,sp.,19.9,13.600,12,1,0.0085
Anchitheriomys,stouti,19.8,19.8,1,0,NaN
Anchitherium,australis,18.7,17.8,2,0,NaN
Anchitherium,clarencei,20.4,13.600,6,0,NaN
Anchitherium,navasotae,18.6,18.6,3,0,NaN
Anchitherium,sp.,28.400,19.3,4,1,0.0169
Anconodon,cochranensis,63.300,59.8,15,0,NaN
Anconodon,gidleyi,63.300,60.1,9,0,NaN
Anconodon,sp.,63.300,60.4,6,1,0.0185
Anemorhysis,natronensis,50.300,46.200,1,0,NaN
Anemorhysis,pattersoni,53.5,53.0,2,0,NaN
Anemorhysis,pearcei,53.6,53.1,4,0,NaN
Anemorhysis,sp.,52.1,52.1,2,0,NaN
Anemorhysis,sublettensis,52.5,52.5,1,0,NaN
Anemorhysis,wortmani,52.8,52.4,4,0,NaN
Angustidens,vireti,20.0,13.600,2,0,NaN
Anisonchus,athelas,63.6,63.6,5,0,NaN
Anisonchus,fortunatus,63.300,61.700,1,0,NaN
Anisonchus,oligistus,63.5,62.2,5,0,NaN
Anisonchus,onostus,66.043,62.1,2,0,NaN
Anisonchus,sectorius,62.1,59.9,38,1,0.0679
Anisonchus,sp.,63.4,62.2,2,0,NaN
Anisonchus,willeyi,63.300,61.700,1,0,NaN
Ankalagon,saurognathus,63.300,61.700,2,0,NaN
Ankylodon,annectens,33.3,29.2,4,0,NaN
Ankylodon,sp.,42.2,35.7,10,0,NaN
Anomodon,snyderi,2.588,0.012,1,0,NaN
Anomoemys,lewisi,42.1,37.200,2,0,NaN
Anoplonassa,forcipata,5.332,0.012,1,1,1.0000
Anoplonassa,sp.,13.650,11.608,1,1,0.0102
Ansomys,hepburnensis,15.970,13.600,1,0,NaN
Ansomys,nevadensis,18.0,17.9,1,0,NaN
Ansomys,nexodens,33.900,33.300,1,0,NaN
Antecalomys,phthanus,11.9,11.7,2,0,NaN
Antecalomys,valensis,9.8,1.800,8,0,NaN
Antecalomys,vasquezi,6.9,1.800,4,0,NaN
Antiacodon,pygmaeus,50.1,46.3,28,6,0.1016
Antiacodon,sp.,53.5,46.3,10,0,NaN
Antiacodon,vanvaleni,50.300,46.200,1,0,NaN
Antiacodon,venustus,49.6,43.8,8,2,0.1459
Antilocapra,americana,1.800,0.012,15,2,0.0098
Antilocapra,sp.,4.900,0.012,8,1,0.0029
Antrozous,pallidus,9.3,0.000,14,0,NaN
Antrozous,sp.,17.3,1.800,6,2,0.0034
Anzanycteris,anzensis,3.6,3.6,2,0,NaN
Apataelurus,kayi,44.8,44.7,1,0,NaN
Apataelurus,sp.,42.9,42.8,1,0,NaN
Apatemys,bellulus,53.0,46.3,23,9,0.0563
Apatemys,bellus,53.3,42.2,17,2,0.0169
Apatemys,chardini,55.8,54.6,1,0,NaN
Apatemys,downsi,42.9,40.9,2,1,0.0042
Apatemys,hendryi,42.5,37.200,3,1,0.0010
Apatemys,pygmaeus,55.800,50.300,1,0,NaN
Apatemys,rodens,53.2,46.200,4,0,NaN
Apatemys,sp.,55.6,36.9,30,4,0.0287
Apatemys,uintensis,44.8,40.5,3,0,NaN
Apatosciuravus,bifax,54.9,54.8,1,0,NaN
Apatosciuravus,jacobsi,53.7,53.6,3,0,NaN
Apheliscus,chydaeus,55.4,54.7,52,13,0.0172
Apheliscus,insidiosus,55.1,53.3,19,13,0.0303
Apheliscus,nitidus,56.800,56.3,20,1,0.0685
Apheliscus,sp.,57.2,53.0,46,2,0.0468
Apheliscus,wapitiensis,55.3,54.7,4,2,0.0121
Aphelops,malacorhinus,13.650,9.2,11,1,0.3333
Aphelops,megalodus,17.8,11.9,18,0,NaN
Aphelops,mutilus,10.0,7.1,14,1,0.0213
Aphelops,sp.,18.9,7.6,61,5,0.1530
Aphronorus,bearspawensis,63.300,61.700,2,0,NaN
Aphronorus,fraudator,63.300,59.0,17,0,NaN
Aphronorus,orieli,60.5,60.4,8,1,0.4500
Aphronorus,ratatoski,63.300,60.7,8,0,NaN
Aphronorus,simpsoni,62.1,62.1,1,0,NaN
Aphronorus,sp.,63.5,55.800,5,0,NaN
Apletotomeus,crassus,33.4,33.4,2,0,NaN
Aplodontia,rufa,0.126,0.012,3,0,NaN
Apriculus,praeteritus,42.0,41.9,1,0,NaN
Aprixokogia,kelloggi,5.332,3.600,1,1,0.0705
Apternodus,baladontus,37.0,35.9,3,0,NaN
Apternodus,brevirostris,35.7,35.7,5,0,NaN
Apternodus,dasophylakas,35.4,34.8,1,0,NaN
Apternodus,gregoryi,35.7,33.300,4,0,NaN
Apternodus,iliffensis,37.3,36.2,4,0,NaN
Apternodus,major,35.7,35.6,1,0,NaN
Apternodus,mediaevus,36.0,34.8,10,3,0.0678
Apternodus,sp.,40.400,36.9,4,0,NaN
Araeodelphis,natator,15.970,11.608,2,2,0.1429
Arapahovius,advena,53.5,53.4,1,0,NaN
Arapahovius,gazini,53.5,53.5,1,0,NaN
Archaeocyon,falkenbachi,25.0,24.9,1,0,NaN
Archaeocyon,leptodus,30.9,24.9,28,13,0.0903
Archaeocyon,pavidus,31.2,27.7,9,1,0.0257
Archaeodelphis,patrius,28.400,23.030,1,1,1.0000
Archaeohippus,blackbergi,21.7,18.6,12,1,0.1610
Archaeohippus,mannulus,26.300,20.430,1,0,NaN
Archaeohippus,mourningi,16.9,15.7,11,0,NaN
Archaeohippus,penultimus,17.6,17.3,8,0,NaN
Archaeohippus,sp.,24.2,12.7,24,4,0.0341
Archaeohippus,stenolophus,19.9,19.1,4,0,NaN
Archaeohippus,ultimus,16.9,15.7,10,2,0.1336
Archaeolagus,acaricolus,21.1,21.0,2,1,0.0204
Archaeolagus,buangulus,21.1,21.0,3,2,0.0505
Archaeolagus,emeraldensis,25.9,25.5,1,0,NaN
Archaeolagus,ennisianus,26.300,24.800,2,1,0.5000
Archaeolagus,macrocephalus,26.300,15.970,6,3,0.1237
Archaeolagus,primigenius,26.300,15.970,5,1,0.3333
Archaeolagus,sp.,25.9,19.6,19,3,0.0512
Archaeoparadoxia,weltoni,23.030,20.430,1,1,1.0000
Archaeotherium,altidens,36.1,32.5,3,0,NaN
Archaeotherium,coarctatum,36.9,35.7,7,0,NaN
Archaeotherium,lemleyi,33.1,32.5,1,0,NaN
Archaeotherium,marshi,36.4,33.300,3,0,NaN
Archaeotherium,minimus,24.8,24.8,1,0,NaN
Archaeotherium,mortoni,36.6,33.3,24,0,NaN
Archaeotherium,palustris,33.9,33.4,1,0,NaN
Archaeotherium,sp.,37.200,25.5,16,2,0.0714
Archaeotherium,trippensis,26.300,24.800,1,0,NaN
Arcticanodon,dawsonae,53.2,53.2,1,0,NaN
Arctisorex,polaris,4.5,4.5,1,0,NaN
Arctocephalus,sp.,3.600,2.588,1,0,NaN
Arctocyon,corrugatus,58.6,58.6,1,0,NaN
Arctocyon,ferox,61.7,58.4,28,0,NaN
Arctocyon,montanensis,63.300,59.9,10,0,NaN
Arctocyon,mumak,59.6,59.1,3,0,NaN
Arctocyon,sp.,61.7,57.7,13,2,0.0009
Arctodontomys,nuptus,54.7,54.6,6,0,NaN
Arctodontomys,simplicidens,57.2,56.3,7,1,0.0108
Arctodontomys,sp.,56.800,55.800,1,1,0.0114
Arctodontomys,wilsoni,56.5,54.1,52,2,0.0206
Arctodus,pristinus,3.0,0.012,24,2,0.4472
Arctodus,simus,2.0,0.01265,28,4,0.5081
Arctodus,sp.,3.1,0.012,10,1,0.0014
Arctomeles,dimolodontus,10.0,10.0,1,0,NaN
Arctomeles,sotnikovae,4.5,4.5,1,0,NaN
Arctomyoides,sp.,15.7,15.4,1,0,NaN
Arctonasua,eurybates,10.300,4.900,1,0,NaN
Arctonasua,floridana,11.5,11.5,1,0,NaN
Arctonasua,fricki,8.4,8.4,1,0,NaN
Arctonasua,gracilis,15.970,13.600,2,0,NaN
Arctonasua,minima,15.970,13.600,1,0,NaN
Arctonasua,sp.,15.970,11.7,4,0,NaN
Arctostylops,sp.,55.8,55.8,1,0,NaN
Arctostylops,steini,57.7,56.4,6,0,NaN
Arctotherium,sp.,4.900,1.800,1,0,NaN
Ardynomys,occidentalis,37.1,36.5,4,0,NaN
Ardynomys,saskatchewaensis,36.9,36.9,1,0,NaN
Ardynomys,sp.,36.6,36.6,1,0,NaN
Arfia,junnei,55.6,55.5,7,0,NaN
Arfia,opisthotoma,55.1,54.2,35,18,0.0377
Arfia,shoshoniensis,55.3,54.8,60,28,0.0379
Arfia,sp.,55.2,46.200,10,0,NaN
Arfia,zele,55.5,54.9,24,3,0.0405
Argyrocetus,bakersfieldensis,28.400,23.030,2,2,0.0891
Argyrocetus,joaquinensis,28.400,23.030,4,4,0.1835
Argyrocetus,sp.,23.030,9.3,2,1,1.0000
Arikareeomys,skinneri,23.9,23.9,2,0,NaN
Arikareeomys,sp.,28.400,23.030,1,0,NaN
Arikarictis,chapini,24.8,21.7,2,0,NaN
Armintodelphys,blacki,52.1,46.200,3,0,NaN
Armintodelphys,dawsoni,52.1,46.200,3,0,NaN
Armintodelphys,sp.,50.300,46.200,2,2,0.0551
Armintomys,tullbergi,50.300,46.200,1,0,NaN
Arretotherium,acridens,26.300,18.6,6,0,NaN
Arretotherium,fricki,20.4,19.9,2,0,NaN
Arretotherium,leptodus,23.3,23.2,1,1,0.2500
Arretotherium,sp.,30.800,15.970,5,2,0.0229
Artibeus,anthonyi,0.017406,0.017406,2,0,NaN
Artibeus,jamaicensis,0.126,0.012,1,0,NaN
Artimonius,australis,50.300,46.200,1,0,NaN
Artimonius,nocerai,52.0,46.200,3,0,NaN
Artimonius,witteri,52.1,46.200,6,0,NaN
Arvicola,sp.,2.588,0.012,1,0,NaN
Asiabradypus,sp.,55.5,55.5,1,0,NaN
Astrohippus,ansae,8.4,7.1,8,0,NaN
Astrohippus,sp.,11.5,8.9,7,0,NaN
Astrohippus,stockii,10.1,5.6,15,0,NaN
Atocetus,nasalis,11.608,7.246,2,2,1.0000
Atocetus,sp.,13.650,11.608,1,1,0.0102
Atopomys,texensis,1.6,0.4,14,1,0.0010
Aulolithomys,bounites,37.3,35.8,11,0,NaN
Aulolithomys,sp.,40.400,36.9,2,0,NaN
Aulolithomys,vexilliames,35.7,35.6,1,0,NaN
Aulophyseter,mediatlanticus,11.608,7.246,1,1,0.3333
Aulophyseter,morricei,15.970,13.650,1,0,NaN
Auraria,urbana,64.9,64.9,1,0,NaN
Auroracetus,bakerae,5.332,3.600,1,1,0.0064
Auroralestes,simpsoni,54.9,54.9,1,0,NaN
Australocamelus,orarius,18.7,18.6,1,0,NaN
Australocamelus,sp.,15.2,15.2,2,0,NaN
Auxontodon,pattersoni,41.6,41.5,1,0,NaN
Auxontodon,processus,42.5,42.4,1,1,0.0132
Auxontodon,sp.,45.3,42.0,4,0,NaN
Avunculus,didelphodonti,63.300,61.700,2,0,NaN
Aycrossia,lovei,50.300,46.200,3,0,NaN
Aztlanolagus,agilis,2.7,0.02516,3,0,NaN
Aztlanolagus,sp.,3.0,0.8,3,0,NaN
Azygonyx,ancylion,56.8,56.5,15,0,NaN
Azygonyx,grangeri,56.5,54.9,27,0,NaN
Azygonyx,"n. sp.",55.3,54.9,1,1,0.0167
Azygonyx,sp.,55.7,55.2,3,1,0.0435
Azygonyx,xenicus,56.800,55.800,7,1,0.0012
Baataromomys,brandti,55.5,55.5,1,0,NaN
Baioconodon,denverensis,64.9,63.3,6,1,0.0588
Baioconodon,engdahli,65.1,65.1,4,0,NaN
Baioconodon,middletoni,64.7,64.6,1,1,0.0833
Baioconodon,nordicus,65.2,64.3,33,4,0.1136
Baioconodon,sp.,65.3,64.0,5,1,1.0000
Baioconodon,wovokae,65.3,64.0,1,0,NaN
Baiomys,aquilonius,3.9,3.7,3,0,NaN
Baiomys,kolbi,5.8,3.5,4,0,NaN
Baiomys,mowi,3.2,3.2,1,1,0.0100
Baiomys,rexroadi,3.4,3.4,3,0,NaN
Baiomys,sp.,7.3,1.5,14,2,0.0028
Baiotomeus,douglassi,63.300,60.0,7,0,NaN
Baiotomeus,lamberti,61.7,61.7,5,0,NaN
Baiotomeus,rhothonion,63.300,61.700,1,0,NaN
Baiotomeus,russelli,60.4,60.4,1,0,NaN
Baiotomeus,sp.,64.8,58.8,4,0,NaN
Balaena,mysticetus,0.126,0.000,15,10,0.8706
Balaena,ricei,3.600,2.588,1,1,0.5000
Balaena,sp.,5.332,0.000,4,2,0.1132
Balaenoptera,cephalus,14.9,14.8,2,0,NaN
Balaenoptera,cortesi,3.600,2.588,1,1,1.0000
Balaenoptera,davidsonii,3.5,3.4,3,2,1.0000
Balaenoptera,floridana,13.650,3.600,4,1,0.5000
Balaenoptera,physalus,0.126,0.012,1,1,1.0000
Balaenoptera,ryani,11.608,7.246,1,0,NaN
Balaenoptera,sp.,11.608,0.000,9,6,0.6475
Balaenoptera,sursiplana,15.970,0.012,1,0,NaN
Balaenotus,sp.,5.332,3.600,1,1,0.5000
Balaenula,sp.,9.3,3.600,6,4,0.5473
Baranomys,sp.,4.5,4.5,1,0,NaN
Barbourofelis,fricki,10.300,4.900,1,0,NaN
Barbourofelis,loveorum,11.7,4.900,3,0,NaN
Barbourofelis,morrisi,11.7,11.6,4,0,NaN
Barbourofelis,osborni,11.7,11.7,3,0,NaN
Barbourofelis,sp.,12.2,4.900,3,0,NaN
Barbourofelis,whitfordi,12.3,11.8,6,0,NaN
Barbouromeryx,sp.,22.2,18.2,9,0,NaN
Barbouromeryx,trigonocorneus,19.6,18.4,3,0,NaN
Barylambda,churchilli,57.8,57.8,1,0,NaN
Barylambda,faberi,56.800,55.6,11,0,NaN
Barylambda,jackwilsoni,59.7,50.300,3,0,NaN
Basilosaurus,cetoides,37.200,33.900,32,16,0.8267
Basilosaurus,sp.,40.400,33.900,12,4,1.0000
Basilotritus,wardii,40.400,37.200,2,1,1.0000
Basirepomys,pliocenicus,11.8,9.7,4,0,NaN
Basirepomys,robertsi,10.300,4.900,1,0,NaN
Basirepomys,sp.,9.8,9.1,2,0,NaN
Bassaricyonoides,phyllismillerae,19.3,19.3,1,0,NaN
Bassaricyonoides,stewartae,18.0,17.9,1,0,NaN
Bassariscus,antiquus,20.430,11.8,14,0,NaN
Bassariscus,astutus,0.3,0.000,7,0,NaN
Bassariscus,casei,3.5,1.9,5,0,NaN
Bassariscus,minimus,15.970,13.600,1,0,NaN
Bassariscus,ogallalae,11.5,8.5,3,0,NaN
Bassariscus,parvus,15.2,13.6,2,0,NaN
Bassariscus,sp.,13.600,0.012,9,1,0.0400
Bathygenys,alpha,37.0,35.7,10,1,0.0255
Bathygenys,hedlundae,35.7,35.7,3,0,NaN
Bathygenys,reevesi,37.1,36.5,2,0,NaN
Bathygenys,sp.,36.9,33.300,7,0,NaN
Bathyopsis,fissidens,52.2,46.200,14,7,0.5338
Bathyopsis,sp.,52.1,46.200,5,0,NaN
Batodonoides,powayensis,45.5,41.0,25,5,0.2893
Batodonoides,vanhouteni,53.6,53.5,2,0,NaN
Beckiasorex,hibbardi,3.4,3.4,1,0,NaN
Behemotops,proteus,33.900,23.030,3,3,1.0000
Belemnoziphius,prorops,5.332,3.600,1,1,0.2500
Belosphys,sp.,14.9,14.8,3,0,NaN
Bensonomys,arizonae,4.7,2.1,12,0,NaN
Bensonomys,baskini,5.8,4.7,3,0,NaN
Bensonomys,coffeyi,8.1,1.800,2,0,NaN
Bensonomys,elachys,5.8,4.0,4,0,NaN
Bensonomys,eliasi,3.5,3.4,3,0,NaN
Bensonomys,gidleyi,6.3,1.800,4,0,NaN
Bensonomys,hershkovitzi,9.9,9.9,1,0,NaN
Bensonomys,lindsayi,10.300,4.900,1,0,NaN
Bensonomys,meadensis,3.4,2.2,4,0,NaN
Bensonomys,sp.,8.3,0.300,14,0,NaN
Bensonomys,stirtoni,4.900,1.800,1,0,NaN
Bensonomys,winklerorum,5.7,5.6,1,0,NaN
Bensonomys,yazhi,6.1,6.0,1,0,NaN
Bessoecetor,septentrionalis,63.300,58.1,26,1,0.0256
Bessoecetor,sp.,57.9,57.9,1,1,0.3333
Bessoecetor,"sp. 1",63.300,61.700,1,0,NaN
Bessoecetor,"sp. 2",63.300,61.700,1,0,NaN
Betonnia,tsosia,64.1,63.8,3,0,NaN
Bisonalveus,browni,60.4,59.8,4,1,0.4286
Bisonalveus,holtzmani,58.7,58.3,2,0,NaN
Bisonalveus,sp.,60.4,58.5,8,0,NaN
Bison,alaskensis,0.4,0.012,4,0,NaN
Bison,antiquus,0.4,0.00189,28,3,0.1417
Bison,bison,0.126,0.000,9,2,0.7071
Bison,latifrons,0.3,0.012,28,2,0.0689
