Taxon,Order,Family,Genus,Species,Equation,Predictor,Intercept,Slope,LnMass,m1L,m1W,otherL,otherW,MeasurementSource,Remarks
Paracosoryx_furlongi,Artiodactyla,Antilocapridae,Paracosoryx,furlongi,Ungulates,m2L,2.366,3.076,9.51,NA,NA,10.2,NA,Original (UCMP 26795),m2L
Plioceros_spp,Artiodactyla,Antilocapridae,Plioceros,spp,Ungulates,m2L,2.366,3.076,9.8,NA,NA,11.2,NA,Janis and Manning 1998:498,m2L
Ramoceros_spp,Artiodactyla,Antilocapridae,Ramoceros,spp,Ungulates,M2L,2.475,3.004,10.01,NA,NA,12.3,NA,Janis and Manning 1998:495,M2L; m2L not available
Sphenophalos_spp,Artiodactyla,Antilocapridae,Sphenophalos,spp,Ungulates,m2L,2.366,3.076,10.46,NA,NA,13.9,NA,Janis and Manning 1998:498,m2L
Texoceros_altidens,Artiodactyla,Antilocapridae,Texoceros,altidens,Ungulates,m1LxW,3.757,1.516,9.76,9.79,5.36,NA,NA,Paleobiology Database,
Euceratherium_collinum,Artiodactyla,Bovidae,Euceratherium,collinum,Ungulates,m1LxW,3.757,1.516,13.06,26,17.8,NA,NA,Paleobiology Database,
Neotragocerus_sp,Artiodactyla,Bovidae,Neotragocerus,sp,Ungulates,m2L,2.366,3.076,12.14,NA,NA,24,NA,Webb 1998a:509,estimated m2L
Ovis_canadensis,Artiodactyla,Bovidae,Ovis,canadensis,Ungulates,m1LxW,3.757,1.516,11.12,13.2,9.75,NA,NA,Paleobiology Database,
Aepycamelus_robustus,Artiodactyla,Camelidae,Aepycamelus,robustus,Ungulates,m1LxW,3.757,1.516,12.95,25.3,17,NA,NA,Paleobiology Database,
Aepycamelus_stocki,Artiodactyla,Camelidae,Aepycamelus,stocki,Ungulates,m1LxW,3.757,1.516,12.76,24.5,15.5,NA,NA,Paleobiology Database,
Alforjas_taylori,Artiodactyla,Camelidae,Alforjas,taylori,Ungulates,m1LxW,3.757,1.516,12.92,26.9,15.7,NA,NA,Paleobiology Database,
Australocamelus_orarius,Artiodactyla,Camelidae,Australocamelus,orarius,Ungulates,m1LxW,3.757,1.516,11.52,17.5,9.6,NA,NA,Paleobiology Database,
Blickomylus_galushai,Artiodactyla,Camelidae,Blickomylus,galushai,Ungulates,m1LxW,3.757,1.516,9.74,8.5,6.1,NA,NA,Paleobiology Database,
Camelops_hesternus,Artiodactyla,Camelidae,Camelops,hesternus,Ungulates,m1LxW,3.757,1.516,13.35,29.4,19.1,NA,NA,Paleobiology Database,
Floridatragulus_dolichanthereus,Artiodactyla,Camelidae,Floridatragulus,dolichanthereus,Ungulates,m1LxW,3.757,1.516,10.68,11.1,8.67,NA,NA,Paleobiology Database,
Floridatragulus_texanus,Artiodactyla,Camelidae,Floridatragulus,texanus,Ungulates,m1LxW,3.757,1.516,11.02,13.2,9.1,NA,NA,Paleobiology Database,
Gentilicamelus_sternbergi,Artiodactyla,Camelidae,Gentilicamelus,sternbergi,Ungulates,M2L,2.475,3.004,9.94,NA,NA,12,NA,Honey et al 1998:447,M2L
Hemiauchenia_macrocephala,Artiodactyla,Camelidae,Hemiauchenia,macrocephala,Ungulates,m1LxW,3.757,1.516,12.34,20.1,14.3,NA,NA,Paleobiology Database,
Hemiauchenia_minima,Artiodactyla,Camelidae,Hemiauchenia,minima,Ungulates,m1LxW,3.757,1.516,11.36,17.1,8.8,NA,NA,Paleobiology Database,
Hesperocamelus_stylodon,Artiodactyla,Camelidae,Hesperocamelus,stylodon,Ungulates,m2L,2.366,3.076,12.78,NA,NA,29.5,NA,Honey et al 1998:453,midpoint of m2L
Megacamelus_merriami,Artiodactyla,Camelidae,Megacamelus,merriami,Ungulates,m1LxW,3.757,1.516,14.46,44.1,26.4,NA,NA,Paleobiology Database,
Megatylopus_matthewi,Artiodactyla,Camelidae,Megatylopus,matthewi,Ungulates,m1LxW,3.757,1.516,14.14,38.8,24.3,NA,NA,Paleobiology Database,
Michenia_agatensis,Artiodactyla,Camelidae,Michenia,agatensis,Ungulates,m1LxW,3.757,1.516,11.51,16,10.4,NA,NA,Paleobiology Database,
Michenia_exilis,Artiodactyla,Camelidae,Michenia,exilis,Ungulates,m1LxW,3.757,1.516,11.09,12.6,9.98,NA,NA,Paleobiology Database,
Miolabis_fricki,Artiodactyla,Camelidae,Miolabis,fricki,Ungulates,m1LxW,3.757,1.516,12.39,19.9,14.9,NA,NA,Paleobiology Database,
Miotylopus_gibbi,Artiodactyla,Camelidae,Miotylopus,gibbi,Ungulates,m1LxW,3.757,1.516,10.78,12.5,8.2,NA,NA,Paleobiology Database,
Miotylopus_leonardi,Artiodactyla,Camelidae,Miotylopus,leonardi,Ungulates,m1LxW,3.757,1.516,10.67,12.9,7.4,NA,NA,Paleobiology Database,
Miotylopus_taylori,Artiodactyla,Camelidae,Miotylopus,taylori,Ungulates,m1LxW,3.757,1.516,11.21,13.9,9.8,NA,NA,Paleobiology Database,
Nothokemas_floridanus,Artiodactyla,Camelidae,Nothokemas,floridanus,Ungulates,m1LxW,3.757,1.516,11.52,15,11.2,NA,NA,Paleobiology Database,
Nothokemas_waldropi,Artiodactyla,Camelidae,Nothokemas,waldropi,Ungulates,m1LxW,3.757,1.516,10.04,9.6,6.55,NA,NA,Paleobiology Database,
Nothotylopus_camptognathus,Artiodactyla,Camelidae,Nothotylopus,camptognathus,Ungulates,m2L,2.366,3.076,12.72,NA,NA,29,NA,Honey et al 1998:450,midpoint of m2L
Oxydactylus_longipes,Artiodactyla,Camelidae,Oxydactylus,longipes,Ungulates,m1LxW,3.757,1.516,11.63,18,10,NA,NA,Paleobiology Database,
Palaeolama_mirifica,Artiodactyla,Camelidae,Palaeolama,mirifica,Ungulates,m1LxW,3.757,1.516,12.17,17.6,14.6,NA,NA,Paleobiology Database,
Paramiolabis_taylori,Artiodactyla,Camelidae,Paramiolabis,taylori,Ungulates,m1LxW,3.757,1.516,11.79,17.4,11.5,NA,NA,Paleobiology Database,
Paratylopus_spp,Artiodactyla,Camelidae,Paratylopus,spp,Ungulates,m2L,2.366,3.076,10.58,NA,NA,14.45,NA,Honey et al 1998:444,midpoint of m2L
Pleiolama_mckennai,Artiodactyla,Camelidae,Pleiolama,mckennai,Ungulates,M2LxW,2.792,1.518,12.3,NA,NA,27.53333333,19.03333333,Webb and Meachen 2004:table 1,M2L and M2W
Pleiolama_vera,Artiodactyla,Camelidae,Pleiolama,vera,Ungulates,M2LxW,2.792,1.518,12.22,NA,NA,29,17.2,Webb and Meachen 2004:table 1,M2L and M2W
Poebrotherium_spp,Artiodactyla,Camelidae,Poebrotherium,spp,Ungulates,m2L,2.366,3.076,10.07,NA,NA,12.25,NA,Honey et al 1998:443,midpoint of average m2L
Priscocamelus_wilsoni,Artiodactyla,Camelidae,Priscocamelus,wilsoni,Ungulates,m1LxW,3.757,1.516,11.14,14.3,9.1,NA,NA,Paleobiology Database,
Procamelus_grandis,Artiodactyla,Camelidae,Procamelus,grandis,Ungulates,m1LxW,3.757,1.516,12.9,27.5,15.1,NA,NA,Paleobiology Database,
Procamelus_occidentalis,Artiodactyla,Camelidae,Procamelus,occidentalis,Ungulates,m1LxW,3.757,1.516,12.15,20.6,12.3,NA,NA,Paleobiology Database,
Protolabis_coartatus,Artiodactyla,Camelidae,Protolabis,coartatus,Ungulates,m1LxW,3.757,1.516,11.61,16.5,10.8,NA,NA,Paleobiology Database,
Protolabis_heterodontus,Artiodactyla,Camelidae,Protolabis,heterodontus,Ungulates,m1LxW,3.757,1.516,12.3,22.1,12.7,NA,NA,Paleobiology Database,
Pseudolabis_dakotensis,Artiodactyla,Camelidae,Pseudolabis,dakotensis,Ungulates,m1LxW,3.757,1.516,11,13.1,9.05,NA,NA,Paleobiology Database,
Rakomylus_raki,Artiodactyla,Camelidae,Rakomylus,raki,Ungulates,m2L,2.366,3.076,11.32,NA,NA,18.4,NA,Honey et al 1998:445,m2L
Stenomylus_gracilis,Artiodactyla,Camelidae,Stenomylus,gracilis,Ungulates,m1LxW,3.757,1.516,10.71,14,7,NA,NA,Paleobiology Database,
Stenomylus_hitchcocki,Artiodactyla,Camelidae,Stenomylus,hitchcocki,Ungulates,m1LxW,3.757,1.516,10.57,13.7,6.53,NA,NA,Paleobiology Database,
Tanymykter_brachyodontus,Artiodactyla,Camelidae,Tanymykter,brachyodontus,Ungulates,m1LxW,3.757,1.516,11.54,14.6,11.6,NA,NA,Paleobiology Database,
Alces_alces,Artiodactyla,Cervidae,Alces,alces,Ungulates,m1LxW,3.757,1.516,13.35,28.1,19.9,NA,NA,Paleobiology Database,
Cervalces_scotti,Artiodactyla,Cervidae,Cervalces,scotti,Ungulates,m1LxW,3.757,1.516,13.35,28,20,NA,NA,Paleobiology Database,
Cervus_elaphus,Artiodactyla,Cervidae,Cervus,elaphus,Ungulates,m1LxW,3.757,1.516,12.7,22.5,16.2,NA,NA,Paleobiology Database,
Eocoileus_gentryorum,Artiodactyla,Cervidae,Eocoileus,gentryorum,Ungulates,m2L,2.366,3.076,10.44,NA,NA,13.8,NA,Webb 2000:table 4.3,m2L
Navahoceros_fricki,Artiodactyla,Cervidae,Navahoceros,fricki,Ungulates,m1LxW,3.757,1.516,12.18,18.5,14,NA,NA,Paleobiology Database,
Odocoileus_hemionus,Artiodactyla,Cervidae,Odocoileus,hemionus,Ungulates,m1LxW,3.757,1.516,11.63,17,10.6,NA,NA,Paleobiology Database,
Odocoileus_virginianus,Artiodactyla,Cervidae,Odocoileus,virginianus,Ungulates,m1LxW,3.757,1.516,11.17,13.5,9.84,NA,NA,Paleobiology Database,
Rangifer_tarandus,Artiodactyla,Cervidae,Rangifer,tarandus,Ungulates,m1LxW,3.757,1.516,11.66,18.5,9.94,NA,NA,Paleobiology Database,
Leptochoerus_gracilis,Artiodactyla,Dichobunidae,Leptochoerus,gracilis,Ungulates,m1LxW,3.757,1.516,9.08,6.22,5.4,NA,NA,Original (UCMP 44001),
Archaeotherium_spp,Artiodactyla,Entelodontidae,Archaeotherium,spp,Suiformes,m2L,3.701,2.445,11.8,NA,NA,27.5,NA,Effinger 1998:378,
Floridameryx_floridanus,Artiodactyla,Gelocidae,Floridameryx,floridanus,Ungulates,LMRL,-1.374,3.113,9.01,NA,NA,28.125,NA,Webb 2008:table 1,lower molar-row length
Pseudoceras_skinneri,Artiodactyla,Gelocidae,Pseudoceras,skinneri,Ungulates,m1LxW,3.757,1.516,9.3,8.6,4.5,NA,NA,Paleobiology Database,
Nanotragulus_loomisi,Artiodactyla,Hypertragulidae,Nanotragulus,loomisi,Ungulates,m1LxW,3.757,1.516,7.91,4.53,3.42,NA,NA,Paleobiology Database,
Nanotragulus_ordinatus,Artiodactyla,Hypertragulidae,Nanotragulus,ordinatus,Ungulates,m1LxW,3.757,1.516,8.62,6.2,4,NA,NA,Paleobiology Database,
Pronodens_silberlingi,Artiodactyla,Leptomerycidae,Pronodens,silberlingi,Ungulates,m1LxW,3.757,1.516,10.01,8.7,7.1,NA,NA,Paleobiology Database,
Pseudoparablastomeryx_scotti,Artiodactyla,Leptomerycidae,Pseudoparablastomeryx,scotti,Ungulates,m1LxW,3.757,1.516,8.68,6.42,4,7.02,4.46,Taylor and Webb 1976:table 2,both m1LW and m2LW available
Brachycrus_buwaldi,Artiodactyla,Merycoidodontidae,Brachycrus,buwaldi,Ungulates,m1LxW,3.757,1.516,12.43,21.1,14.5,NA,NA,Original (UCMP 310877),approximate measurements
Brachycrus_siouense,Artiodactyla,Merycoidodontidae,Brachycrus,siouense,Ungulates,m1LxW,3.757,1.516,11.89,16.6,12.9,NA,NA,Original (UCMP 80396),approximate measurements
Hypsiops_breviceps,Artiodactyla,Merycoidodontidae,Hypsiops,breviceps,Ungulates,m1LxW,3.757,1.516,11.96,16,14,NA,NA,Paleobiology Database,
Leptauchenia_decora,Artiodactyla,Merycoidodontidae,Leptauchenia,decora,Ungulates,m1LxW,3.757,1.516,9.91,8.9,6.5,NA,NA,Paleobiology Database,
Leptauchenia_major,Artiodactyla,Merycoidodontidae,Leptauchenia,major,Ungulates,m1LxW,3.757,1.516,10.34,10.4,7.4,NA,NA,Paleobiology Database,
Merychyus_elegans,Artiodactyla,Merycoidodontidae,Merychyus,elegans,Ungulates,m1LxW,3.757,1.516,10.73,11.4,8.7,NA,NA,Paleobiology Database,
Merychyus_medius,Artiodactyla,Merycoidodontidae,Merychyus,medius,Ungulates,m1LxW,3.757,1.516,11.59,14.4,12.2,NA,NA,Paleobiology Database,
Merycochoerus_magnus,Artiodactyla,Merycoidodontidae,Merycochoerus,magnus,Ungulates,m1LxW,3.757,1.516,12.71,23,16,NA,NA,Paleobiology Database,
Merycochoerus_proprius,Artiodactyla,Merycoidodontidae,Merycochoerus,proprius,Ungulates,m1LxW,3.757,1.516,12.49,18.9,16.8,NA,NA,Paleobiology Database,
Merycoides_harrisonensis,Artiodactyla,Merycoidodontidae,Merycoides,harrisonensis,Ungulates,m1LxW,3.757,1.516,11.41,13.8,11.3,NA,NA,Paleobiology Database,
Mesoreodon_floridensis,Artiodactyla,Merycoidodontidae,Mesoreodon,floridensis,Ungulates,m1LxW,3.757,1.516,11.56,14.2,12.1,NA,NA,Paleobiology Database,
Oreodontoides_oregonensis,Artiodactyla,Merycoidodontidae,Oreodontoides,oregonensis,Ungulates,m1LxW,3.757,1.516,10.14,9.8,6.86,NA,NA,Paleobiology Database,
Paroreodon_marshi,Artiodactyla,Merycoidodontidae,Paroreodon,marshi,Ungulates,m1LxW,3.757,1.516,10.2,9.9,7.1,NA,NA,Original (UCMP 601),approximate measurements
Phenacocoelus_typus,Artiodactyla,Merycoidodontidae,Phenacocoelus,typus,Ungulates,m1LxW,3.757,1.516,10.86,12,9,NA,NA,Paleobiology Database,
Sespia_californica,Artiodactyla,Merycoidodontidae,Sespia,californica,Ungulates,m1LxW,3.757,1.516,8.19,4.97,3.74,NA,NA,Paleobiology Database,
Ticholeptus_zygomaticus,Artiodactyla,Merycoidodontidae,Ticholeptus,zygomaticus,Ungulates,m1LxW,3.757,1.516,11.58,14.5,12,NA,NA,Paleobiology Database,
Blastomeryx_gemmifer,Artiodactyla,Moschidae,Blastomeryx,gemmifer,Ungulates,m1LxW,3.757,1.516,9.3,7.99,4.86,NA,NA,Prothero 2008:table 1,
Longirostromeryx_clarendonensis,Artiodactyla,Moschidae,Longirostromeryx,clarendonensis,Ungulates,m1LxW,3.757,1.516,9.49,9.35,4.7,NA,NA,Prothero 2008:table 1,
Longirostromeryx_wellsi,Artiodactyla,Moschidae,Longirostromeryx,wellsi,Ungulates,m1LxW,3.757,1.516,9.77,10.38,5.1,NA,NA,Prothero 2008:table 1,
Machaeromeryx_gilchristensis,Artiodactyla,Moschidae,Machaeromeryx,gilchristensis,Ungulates,m1LxW,3.757,1.516,8.42,5.7,3.8,NA,NA,White 1941:98,
Machaeromeryx_tragulus,Artiodactyla,Moschidae,Machaeromeryx,tragulus,Ungulates,m1LxW,3.757,1.516,8.42,5.7,3.8,NA,NA,White 1941:98,White's measurements taken from Matthew (1926:fig. 2)
Parablastomeryx_gregorii,Artiodactyla,Moschidae,Parablastomeryx,gregorii,Ungulates,m1LxW,3.757,1.516,10,10.17,6.05,NA,NA,Prothero 2008:table 1,
Problastomeryx_primus,Artiodactyla,Moschidae,Problastomeryx,primus,Ungulates,m1LxW,3.757,1.516,9.61,8.73,5.43,NA,NA,Prothero 2008:table 1,
Pseudoblastomeryx_advena,Artiodactyla,Moschidae,Pseudoblastomeryx,advena,Ungulates,m1LxW,3.757,1.516,9.22,8.37,4.38,NA,NA,Prothero 2008:table 1,
Aletomeryx_gracilis,Artiodactyla,Palaeomerycidae,Aletomeryx,gracilis,Ungulates,m1LxW,3.757,1.516,10.21,10.1,7,NA,NA,Prothero and Liter 2008:table 1,
Aletomeryx_marslandensis,Artiodactyla,Palaeomerycidae,Aletomeryx,marslandensis,Ungulates,m1LxW,3.757,1.516,10.42,10.8,7.5,NA,NA,Prothero and Liter 2008:table 1,
Aletomeryx_occidentalis,Artiodactyla,Palaeomerycidae,Aletomeryx,occidentalis,Ungulates,m1LxW,3.757,1.516,10.34,11,7,NA,NA,Prothero and Liter 2008:table 1,
Barbouromeryx_trigonocorneus,Artiodactyla,Palaeomerycidae,Barbouromeryx,trigonocorneus,Ungulates,m1LxW,3.757,1.516,10.43,10.9,7.5,NA,NA,Prothero and Liter 2008:table 1,
Bouromeryx_americanus,Artiodactyla,Palaeomerycidae,Bouromeryx,americanus,Ungulates,m1LxW,3.757,1.516,11.13,13.5,9.6,NA,NA,Prothero and Liter 2008:table 1,
Bouromeryx_submilleri,Artiodactyla,Palaeomerycidae,Bouromeryx,submilleri,Ungulates,m1LxW,3.757,1.516,10.82,12.4,8.5,NA,NA,Prothero and Liter 2008:table 1,
Cranioceras_teres,Artiodactyla,Palaeomerycidae,Cranioceras,teres,Ungulates,m1LxW,3.757,1.516,11.48,15,10.9,NA,NA,Prothero and Liter 2008:table 1,
Cranioceras_unicornis,Artiodactyla,Palaeomerycidae,Cranioceras,unicornis,Ungulates,m1LxW,3.757,1.516,11.81,17,11.9,NA,NA,Prothero and Liter 2008:table 1,
Drepanomeryx_falciformis,Artiodactyla,Palaeomerycidae,Drepanomeryx,falciformis,Ungulates,m1LxW,3.757,1.516,11.41,14,11.1,NA,NA,Prothero and Liter 2008:table 1,
Dromomeryx_borealis,Artiodactyla,Palaeomerycidae,Dromomeryx,borealis,Ungulates,m1LxW,3.757,1.516,11.88,16.9,12.6,NA,NA,Prothero and Liter 2008:table 1,
Pediomeryx_hemphillensis,Artiodactyla,Palaeomerycidae,Pediomeryx,hemphillensis,Ungulates,m1LxW,3.757,1.516,12.03,17.8,13.2,NA,NA,Paleobiology Database,
Procranioceras_skinneri,Artiodactyla,Palaeomerycidae,Procranioceras,skinneri,Ungulates,m1LxW,3.757,1.516,12.04,18.3,12.9,NA,NA,Paleobiology Database,
Rakomeryx_sinclairi,Artiodactyla,Palaeomerycidae,Rakomeryx,sinclairi,Ungulates,m1LxW,3.757,1.516,11.62,15.8,11.3,NA,NA,Prothero and Liter 2008:table 1,
Sinclairomeryx_riparius,Artiodactyla,Palaeomerycidae,Sinclairomeryx,riparius,Ungulates,m1LxW,3.757,1.516,11.61,15.7,11.3,NA,NA,Prothero and Liter 2008:table 1,
Subdromomeryx_antilopinus,Artiodactyla,Palaeomerycidae,Subdromomeryx,antilopinus,Ungulates,m1LxW,3.757,1.516,11,13.2,9,NA,NA,Prothero and Liter 2008:table 1,
Yumaceras_figginsi,Artiodactyla,Palaeomerycidae,Yumaceras,figginsi,Ungulates,m1LxW,3.757,1.516,12.59,20.8,16.3,NA,NA,Paleobiology Database,
Yumaceras_hamiltoni,Artiodactyla,Palaeomerycidae,Yumaceras,hamiltoni,Ungulates,m1LxW,3.757,1.516,12.42,20.2,15,NA,NA,Paleobiology Database,
Yumaceras_ruminalis,Artiodactyla,Palaeomerycidae,Yumaceras,ruminalis,Ungulates,m1LxW,3.757,1.516,12.66,25.5,13.9,NA,NA,Paleobiology Database,
Kyptoceras_amatorum,Artiodactyla,Protoceratidae,Kyptoceras,amatorum,Ungulates,M2LxW,2.792,1.518,12.82,NA,NA,25.8,28.6,Webb 1981:361,M2L and M2W
Lambdoceras_spp,Artiodactyla,Protoceratidae,Lambdoceras,spp,Ungulates,m2L,2.366,3.076,12.53,NA,NA,27.25,NA,Webb 1998b:436,midpoint of average m2L
Paratoceras_spp,Artiodactyla,Protoceratidae,Paratoceras,spp,Ungulates,m2L,2.366,3.076,10.67,NA,NA,14.85,NA,Webb 1998b:435,midpoint of average m2L
Prosynthetoceras_francisi,Artiodactyla,Protoceratidae,Prosynthetoceras,francisi,Ungulates,m1LxW,3.757,1.516,11.81,19.9,10.2,NA,NA,Paleobiology Database,
Prosynthetoceras_orthrionanus,Artiodactyla,Protoceratidae,Prosynthetoceras,orthrionanus,Ungulates,m1LxW,3.757,1.516,10.6,11.2,8.15,NA,NA,Paleobiology Database,
Syndyoceras_cooki,Artiodactyla,Protoceratidae,Syndyoceras,cooki,Ungulates,m2L,2.366,3.076,11.21,NA,NA,17.75,NA,Webb 1998b:435,midpoint of average m2L
Synthetoceras_davisorum,Artiodactyla,Protoceratidae,Synthetoceras,davisorum,Ungulates,M2LxW,2.792,1.518,12.3,NA,NA,23.9,22,Paleobiology Database,M2L and M2W
Synthetoceras_tricornatum,Artiodactyla,Protoceratidae,Synthetoceras,tricornatum,Ungulates,M2LxW,2.792,1.518,12.83,20.18,14.43,29.1,25.59,Patton and Taylor 1971:tables 11-12,M2L and M2W
Catagonus_spp,Artiodactyla,Tayassuidae,Catagonus,spp,Suiformes,m2L,3.701,2.445,10.91,NA,NA,19.05,NA,Wright 1998:396,mean m2L for: M. crassigenis; M. n. sp.
Cynorca_occidentale,Artiodactyla,Tayassuidae,Cynorca_occidentale,occidentale,Suiformes,m2L,3.701,2.445,9.93,NA,NA,12.8,NA,Wright 1998:396,
Cynorca_sociale_sociale,Artiodactyla,Tayassuidae,Cynorca_sociale,sociale,Suiformes,m2L,3.701,2.445,9.63,NA,NA,11.3,NA,Wright 1998:395,
Dyseohyus_fricki,Artiodactyla,Tayassuidae,Dyseohyus,fricki,Suiformes,m2L,3.701,2.445,9.99,NA,NA,13.1,NA,Wright 1998:396,
Floridachoerus_olseni,Artiodactyla,Tayassuidae,Floridachoerus,olseni,Suiformes,m2L,3.701,2.445,10.48,NA,NA,16,NA,Wright 1998:395,
Hesperhys_pinensis,Artiodactyla,Tayassuidae,Hesperhys,pinensis,Suiformes,m2L,3.701,2.445,11.13,NA,NA,20.9,NA,Wright 1998:395,
Hesperhys_vagrans,Artiodactyla,Tayassuidae,Hesperhys,vagrans,Suiformes,m2L,3.701,2.445,11.21,NA,NA,21.6,NA,Wright 1998:395,
Macrogenis_spp,Artiodactyla,Tayassuidae,Macrogenis,spp,Suiformes,m2L,3.701,2.445,11.07,NA,NA,20.36666667,NA,Wright 1998:396,mean m2L for: C. wagneri; C. stenocephalus; C. brachydontus
Mylohyus_elmori,Artiodactyla,Tayassuidae,Mylohyus,elmori,Suiformes,m2L,3.701,2.445,10.9,NA,NA,19,NA,Wright 1998:397,
Mylohyus_fossilis,Artiodactyla,Tayassuidae,Mylohyus,fossilis,Suiformes,m2L,3.701,2.445,10.46,NA,NA,15.85,NA,Wright 1998:397,midpoint of average m2L
Mylohyus_longirostris,Artiodactyla,Tayassuidae,Mylohyus,longirostris,Suiformes,m2L,3.701,2.445,10.64,NA,NA,17.1,NA,Wright 1998:397,
Platygonus_brachyrostris,Artiodactyla,Tayassuidae,Platygonus,brachyrostris,Suiformes,m2L,3.701,2.445,10.58,NA,NA,16.7,NA,Wright 1998:397,
Platygonus_compressus,Artiodactyla,Tayassuidae,Platygonus,compressus,Suiformes,m2L,3.701,2.445,10.6,NA,NA,16.8,NA,Wright 1998:397,
Platygonus_oregonensis,Artiodactyla,Tayassuidae,Platygonus,oregonensis,Suiformes,m2L,3.701,2.445,10.6,NA,NA,16.8,NA,Wright 1998:397,
Platygonus_pearcei,Artiodactyla,Tayassuidae,Platygonus,pearcei,Suiformes,m2L,3.701,2.445,10.93,NA,NA,19.2,NA,Wright 1998:397,
Prosthennops_niobrarensis,Artiodactyla,Tayassuidae,Prosthennops_niobrarensis,,Suiformes,m2L,3.701,2.445,10.67,NA,NA,17.3,NA,Wright 1998:396,average m2L
Prosthennops_serus,Artiodactyla,Tayassuidae,Prosthennops_serus,serus,Suiformes,m2L,3.701,2.445,10.89,NA,NA,18.9,NA,Wright 1998:396,
Prosthennops_xiphodonticus,Artiodactyla,Tayassuidae,Prosthennops_xiphodonticus,,Suiformes,m2L,3.701,2.445,10.08,NA,NA,13.6,NA,Wright 1998:396,midpoint of average m2L
Thinohyus_siouxensis,Artiodactyla,Tayassuidae,Thinohyus_siouxensis,,Suiformes,m2L,3.701,2.445,10.91,NA,NA,19.1,NA,Wright 1998:395,average m2L
Delahomeryx_browni,Artiodactyla,unknown,Delahomeryx,browni,Ungulates,m1LxW,3.757,1.516,10.57,11.9,7.5,NA,NA,Paleobiology Database,
Adilophontes_brachykolos,Carnivora,Amphicyonidae,Adilophontes,brachykolos,Carnivores,m1L,1.681,2.97,11.69,29.1,13.9,NA,NA,Paleobiology Database,
Amphicyon_frendens,Carnivora,Amphicyonidae,Amphicyon,frendens,Carnivores,m1L,1.681,2.97,12.41,37,17,NA,NA,Paleobiology Database,
Amphicyon_galushai,Carnivora,Amphicyonidae,Amphicyon,galushai,Carnivores,m1L,1.681,2.97,11.84,30.6,16.3,NA,NA,Paleobiology Database,
Amphicyon_longiramus,Carnivora,Amphicyonidae,Amphicyon,longiramus,Carnivores,m1L,1.681,2.97,11.64,28.6,13.8,NA,NA,Paleobiology Database,
Cynelos_caroniavorus,Carnivora,Amphicyonidae,Cynelos,caroniavorus,Carnivores,m1L,1.681,2.97,9.72,15,NA,NA,NA,Hunt 1998a:211,
